dcNorm,icNorm,ecNorm,scNorm,bcNorm,ccNorm,NCNorm,PecNorm,IonNorm,P&Enorm,Vacuole,Vesicles,Lysosome,Membrane,Mitochondrion,Peroxisome,Secretory pathway,Cell wall,Cytoskeleton,Endoplasmic reticulum,Golgi,Transmembrane,Cytoplasm,Nucleus,Endosome,Extracellular,essential0,essential1
0.003571429,0.309250791,0.003257567,1.06E-05,0,0.970760515,0,-0.01385294,0.032679598,-0.004586616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.308705467,0.003493328,1.22E-05,0,0.971413472,0,-0.027211832,0.032679598,-0.009009658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.007142857,0.45030348,0.012646669,0.000159938,0.000407952,0.977621978,0,0.010823791,0.32679598,0.00716737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.308876446,0.002656808,7.06E-06,0,0.968098443,0,0,0,-0.015815063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.010714286,0.526272579,0.005458582,2.98E-05,0.00187079,0.975559367,0,-0.001022536,0,-0.00104586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.265186176,0.000251309,6.32E-08,0,0.960083054,0,0.001916688,0,0.000634602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.003571429,0.311652528,0.005559218,3.09E-05,0,0.977304086,0,0.014010009,0,0.004638621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.010714286,0.559558765,0.00337393,1.14E-05,0.00044526,0.972730533,0,-0.001834868,0.059912596,-0.001822538,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.003571429,0.308735946,0.002597529,6.75E-06,0,0.969385398,0,0,0,0.002435326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.021428571,0.689057002,0.012210358,0.000149127,0.008234388,0.981743142,0.036775973,0.033620997,0.47240237,0.039635706,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0.046428571,0.858067596,0.059884242,0.003586123,0.004084176,0.988168231,0.126264174,0.108135626,0.358810752,0.128348538,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.067857143,0.892584714,0.068670483,0.004715635,0.013548102,0.986235827,0.129635305,-0.005300339,0.606034316,0.068081475,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.132142857,0.951136234,0.267889106,0.071764576,0.017692124,0.990134669,0.102666258,0.034030052,0.832128557,0.069757824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.017857143,0.672234247,0.017731144,0.000314394,0.001542651,0.981530844,0.045969966,0.013996382,0.472606688,0.02791957,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
0.232142857,0.972057466,0.105574907,0.011146095,0.075095145,0.991008212,0.124731842,-0.125203938,0.24780652,-0.020974762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.067857143,0.898079322,0.052672998,0.002774445,0.007597967,0.986332049,0.025130248,-0.006165212,0.615902553,7.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.05,0.868191001,0.152735363,0.023328091,0.001262539,0.988220919,0.122586577,0.02124046,0.462293852,0.059501744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.007142857,0.449321898,0.000854157,7.43E-07,0.000180207,0.965522181,0,-0.009813147,0.0054466,-0.004027903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
