dc,ic,ec,sc,bc,cc,nc,ION,essential0,essential1
0.005649718,0.270599153,2.71E-05,2.43E-08,0,0.007431316,0,0,0,1
0.005649718,0.380580584,0.00095161,3.00E-05,0,0.007481283,0,0.434343434,0,1
0.011299435,0.549416811,0.001591086,8.40E-05,7.81E-06,0.00747228,0,0.005050505,0,1
0.265536723,0.974848487,0.051293826,0.087293612,0.029707688,0.007517802,0.160804228,0.153558276,0,1
0.073446328,0.890342102,0.011366881,0.004286823,0.002137737,0.007501458,0.029530458,0.618554653,0,1
0.005649718,0.33154888,1.93E-05,1.23E-08,0,0.007420049,0,0.005050505,0,1
0.011299435,0.505039748,6.30E-05,1.31E-07,5.90E-05,0.007437987,0,0,0,1
0.039548023,0.763489842,0.002125221,0.000149851,0.019879991,0.00749214,0,0.151515152,0,1
0.02259887,0.710088844,0.004695584,0.000731526,0.000142804,0.007482166,0,0.46969697,0,1
0.361581921,0.983746644,0.051404339,0.087670075,0.103666948,0.007524442,0.110035307,0.111144402,0,1
0.011299435,0.456406236,6.27E-05,1.30E-07,9.26E-05,0.00743819,0,0.131313131,0,1
0.248587571,0.971686948,0.045608848,0.06901606,0.034444841,0.007519315,0.200026966,0.225154615,0,1
0.118644068,0.934504255,0.017342556,0.009978798,0.007662597,0.007511442,0.029722911,0.092161127,0,1
0.039548023,0.802857278,0.011011697,0.004023086,0.004004736,0.007505238,0.034452201,0.370046863,0,1
0.372881356,0.98542827,0.076377316,0.193543816,0.133959146,0.007527829,0.130443395,0.217562286,0,1
0.146892655,0.945369783,0.012497811,0.005182254,0.033284023,0.007511049,0.030464686,0.654687055,0,1
0.005649718,0.380580584,0.00095161,3.00E-05,0,0.007481283,0,0.186868687,0,1
0.548022599,0.991164835,0.047966369,0.076335167,0.366297079,0.00752943,0.129427306,0.508225156,0,1
0.548022599,0.992674179,0.086065466,0.245758974,0.236813639,0.007532613,0.396463577,0.461493977,0,1
0.220338983,0.966246138,0.028560059,0.027062584,0.069439286,0.007525564,0.128355689,0.381830041,0,1
0.016949153,0.622548939,0.001237813,5.08E-05,0.000448894,0.007478553,0.014765229,0.544868892,0,1
0.248587571,0.971450027,0.061216054,0.124331469,0.072991627,0.007526374,0.059972158,0.074526608,0,1
0.13559322,0.930752918,0.0180152,0.010767839,0.067839123,0.007523881,0.050125354,0.09681047,0,1
0.107344633,0.895555694,0.017970725,0.010714746,0.074063567,0.007516454,0.021561922,0.135903862,0,1
0.056497175,0.837736426,0.012660929,0.005318411,0.030954253,0.007500282,0.029530458,0.565488037,0,1
0.005649718,0.364182716,0.000352059,4.11E-06,0,0.007459276,0,0.242424242,0,1
0.016949153,0.468743566,0.000344784,3.94E-06,0.011911438,0.007465487,0,0.01010101,0,1
0.231638418,0.9670212,0.055060942,0.100586041,0.106792369,0.00752654,0.145979571,0.046735879,0,1
0.011299435,0.481213885,0.000553413,1.02E-05,0,0.007463116,0.029530458,0.011006246,1,0
0.039548023,0.800108349,0.008730616,0.002528951,0.038953316,0.007506643,0.06398266,0.073527367,1,0
0.028248588,0.71084206,0.00202002,0.000135382,0.017178625,0.007474801,0,0,1,0
0.005649718,0.380580584,0.00095161,3.00E-05,0,0.007481283,0,0.01010101,1,0
0.005649718,0.380050662,0.002428275,0.000195635,0,0.007471973,0,0.161616162,1,0
0.028248588,0.664369444,0.001403403,6.53E-05,0.016110768,0.007480852,0.011073922,0.747655123,1,0
0.016949153,0.641818101,0.001971568,0.000128966,1.73E-05,0.007474022,0,0,1,0
0.028248588,0.736026923,0.000490812,7.99E-06,0.001399045,0.007471359,0.036913073,0.04944238,1,0
0.011299435,0.539023822,0.001270931,5.36E-05,3.43E-05,0.007478964,0,0,1,0
0.016949153,0.424887407,7.13E-05,1.69E-07,0.0113029,0.007433282,0.022147844,0.006108926,1,0
0.056497175,0.835258863,0.004326262,0.000620978,0.018670601,0.007496672,0.009843486,0.025482755,1,0
0.005649718,0.717430579,1.48E-17,2.53E-19,0,0.000366838,0,0.005050505,1,0
0.005649718,0.717430579,6.19E-18,2.53E-19,0,0.000366838,0,0.055555556,1,0
0.005649718,0.367246955,0.000412182,5.64E-06,0,0.007449919,0,0,1,0
0.016949153,0.648950159,0.002675073,0.000237423,0.001757931,0.007498013,0,0.005050505,1,0
0.005649718,0.244586013,4.62E-08,7.07E-14,0,0.007342069,0,0,1,0
0.04519774,0.712909802,0.002058486,0.000140587,0.059914333,0.007486091,0.008788827,0.068068549,1,0
0.011299435,0.287327109,2.33E-05,1.80E-08,0.0113029,0.007414479,0,0.01010101,1,0
0.016949153,0.631046949,0.00295935,0.000290565,0.001436221,0.00749389,0.014765229,0.168470094,1,0
0.011299435,0.537854623,0.000296952,2.93E-06,1.74E-06,0.007464812,0,0.308080808,1,0
0.005649718,0.365817159,0.000339182,3.82E-06,0,0.00746428,0,0,1,0
0.005649718,0.315153566,3.80E-05,4.79E-08,0,0.007431681,0,0.156565657,1,0
0.005649718,0.380580584,0.00095161,3.00E-05,0,0.007481283,0,0,1,0
0.02259887,0.666023235,0.002713773,0.000244342,0.008326175,0.007487119,0,0.015151515,1,0
0.005649718,0.376925639,0.000272841,2.47E-06,0,0.007466897,0,0.358585859,1,0
0.005649718,0.379287799,0.001423507,6.72E-05,0,0.007477035,0,0,1,0
0.005649718,0.33154888,1.93E-05,1.23E-08,0,0.007420049,0,0.419191919,1,0
0.033898305,0.601672028,0.000651581,1.41E-05,0.054964177,0.007479682,0.012304358,0.010783667,1,0
0.06779661,0.852758969,0.003694952,0.000452969,0.036103304,0.00749144,0.013422936,0.08082464,1,0
0.016949153,0.517775726,0.000217455,1.57E-06,0.011363904,0.007457623,0,0.025252525,1,0
0.005649718,0.371307293,0.000559087,1.04E-05,0,0.007461195,0,0,1,0
0.011299435,0.443305246,1.09E-05,3.93E-09,0.000278322,0.007408454,0,0,1,0
0.18079096,0.956613108,0.035965248,0.042915903,0.043169069,0.007513326,0.098254059,0.200730036,1,0
0.02259887,0.666841303,0.001991791,0.000131625,0.012519266,0.007494838,0.009843486,0.301889621,1,0
0.011299435,0.549431726,0.000785982,2.05E-05,0.000124114,0.007476974,0,0.015151515,1,0
0.073446328,0.89257989,0.005850191,0.001135519,0.002132968,0.007493973,0.009843486,0.199044544,1,0
0.016949153,0.636299947,0.000597095,1.18E-05,3.85E-05,0.007470663,0,0.045454545,1,0
0.118644068,0.923248801,0.007878049,0.002059157,0.090094762,0.007512084,0.031150983,0.056405807,1,0
0.011299435,0.257684748,3.98E-06,5.26E-10,0,0.007388215,0.029530458,0,1,0
